NAICS Description,naics2002,data,total
,311225,ann. pay.,381723
,311225,est. rec.,12933052
Breakfast Cereal Manufacturing,31123,firms,41
,31123,estab.,68
,31123,empl.,14987
,31123,ann. pay.,850047
,31123,est. rec.,D
Breakfast Cereal Manufacturing,311230,firms,41
,311230,estab.,68
,311230,empl.,14987
,311230,ann. pay.,850047
,311230,est. rec.,D
Sugar and Confectionery Product Manufacturing,3113,firms,1627
,3113,estab.,1788
,3113,empl.,73457
,3113,ann. pay.,2890080
,3113,est. rec.,28162535
Sugar Manufacturing,31131,firms,50
,31131,estab.,89
,31131,empl.,16413
,31131,ann. pay.,692702
,31131,est. rec.,8523398
Sugarcane Mills,311311,firms,29
,311311,estab.,34
,311311,empl.,6654
,311311,ann. pay.,263466
,311311,est. rec.,2555120
Cane Sugar Refining,311312,firms,15
,311312,estab.,23
,311312,empl.,2876
,311312,ann. pay.,155883
,311312,est. rec.,2573358
Beet Sugar Manufacturing,311313,firms,11
,311313,estab.,32
,311313,empl.,6883
,311313,ann. pay.,273353
,311313,est. rec.,3394920
Chocolate and Confectionery Manufacturing from Cacao Beans,31132,firms,149
,31132,estab.,160
,31132,empl.,7354
,31132,ann. pay.,355445
,31132,est. rec.,4201849
Chocolate and Confectionery Manufacturing from Cacao Beans,311320,firms,149
,311320,estab.,160
,311320,empl.,7354
,311320,ann. pay.,355445
,311320,est. rec.,4201849
Confectionery Manufacturing from Purchased Chocolate,31133,firms,1007
,31133,estab.,1073
,31133,empl.,31440
,31133,ann. pay.,1129222
,31133,est. rec.,10089764
Confectionery Manufacturing from Purchased Chocolate,311330,firms,1007
,311330,estab.,1073
,311330,empl.,31440
,311330,ann. pay.,1129222
,311330,est. rec.,10089764
Nonchocolate Confectionery Manufacturing,31134,firms,441
,31134,estab.,466
,31134,empl.,18250
,31134,ann. pay.,712711
,31134,est. rec.,5347524
Nonchocolate Confectionery Manufacturing,311340,firms,441
,311340,estab.,466
,311340,empl.,18250
,311340,ann. pay.,712711
,311340,est. rec.,5347524
Fruit and Vegetable Preserving and Specialty Food Manufacturing,3114,firms,1293
,3114,estab.,1668
,3114,empl.,162253
,3114,ann. pay.,6315554
,3114,est. rec.,63684271
Frozen Food Manufacturing,31141,firms,513
,31141,estab.,655
,31141,empl.,86553
,31141,ann. pay.,3014590
,31141,est. rec.,26238074
"Frozen Fruit, Juice, and Vegetable Manufacturing",311411,firms,153
,311411,estab.,225
,311411,empl.,31266
,311411,ann. pay.,1106845
,311411,est. rec.,11331359
Frozen Specialty Food Manufacturing,311412,firms,367
,311412,estab.,430
,311412,empl.,55287
,311412,ann. pay.,1907745
,311412,est. rec.,14906715
"Fruit and Vegetable Canning, Pickling, and Drying",31142,firms,801
,31142,estab.,1013
,31142,empl.,75700
,31142,ann. pay.,3300964
,31142,est. rec.,37446197
Fruit and Vegetable Canning,311421,firms,575
,311421,estab.,724
,311421,empl.,48830
,311421,ann. pay.,2219983
,311421,est. rec.,22640216
Specialty Canning,311422,firms,108
,311422,estab.,118
,311422,empl.,13541
,311422,ann. pay.,600588
,311422,est. rec.,D
Dried and Dehydrated Food Manufacturing,311423,firms,130
,311423,estab.,171
,311423,empl.,13329
,311423,ann. pay.,480393
,311423,est. rec.,5207277
Dairy Product Manufacturing,3115,firms,1095
,3115,estab.,1612
,3115,empl.,129692
,3115,ann. pay.,5683054
,3115,est. rec.,90105396
Dairy Product (except Frozen) Manufacturing,31151,firms,752
,31151,estab.,1206
,31151,empl.,109812
,31151,ann. pay.,4916298
,31151,est. rec.,81181221
Fluid Milk Manufacturing,311511,firms,275
,311511,estab.,489
,311511,empl.,53493
,311511,ann. pay.,2467345
,311511,est. rec.,34528959
Creamery Butter Manufacturing,311512,firms,28
,311512,estab.,33
,311512,empl.,1442
,311512,ann. pay.,62803
,311512,est. rec.,2280586
Cheese Manufacturing,311513,firms,355
,311513,estab.,497
,311513,empl.,40661
,311513,ann. pay.,1617669
,311513,est. rec.,32188720
"Dry, Condensed, and Evaporated Dairy Product Manufacturing",311514,firms,135
,311514,estab.,187
,311514,empl.,14216
,311514,ann. pay.,768481
,311514,est. rec.,12182956
Ice Cream and Frozen Dessert Manufacturing,31152,firms,360
,31152,estab.,406
,31152,empl.,19880
,31152,ann. pay.,766756
,31152,est. rec.,8924175
Ice Cream and Frozen Dessert Manufacturing,311520,firms,360
,311520,estab.,406
,311520,empl.,19880
,311520,ann. pay.,766756
,311520,est. rec.,8924175
Animal Slaughtering and Processing,3116,firms,3195
,3116,estab.,3817
,3116,empl.,487813
,3116,ann. pay.,14411045
,3116,est. rec.,156334864
Animal Slaughtering and Processing,31161,firms,3195
,31161,estab.,3817
,31161,empl.,487813
,31161,ann. pay.,14411045
,31161,est. rec.,156334864
Animal (except Poultry) Slaughtering,311611,firms,1541
,311611,estab.,1633
,311611,empl.,148927
,311611,ann. pay.,4721396
,311611,est. rec.,69056526
Meat Processed from Carcasses,311612,firms,1267
,311612,estab.,1405
,311612,empl.,100361
,311612,ann. pay.,3404716
,311612,est. rec.,35685075
Rendering and Meat Byproduct Processing,311613,firms,117
,311613,estab.,225
,311613,empl.,8294
,311613,ann. pay.,355294
,311613,est. rec.,3435181
Poultry Processing,311615,firms,326
,311615,estab.,554
,311615,empl.,230231
,311615,ann. pay.,5929639
,311615,est. rec.,48158082
Seafood Product Preparation and Packaging,3117,firms,592
,3117,estab.,685
,3117,empl.,33169
,3117,ann. pay.,1196086
,3117,est. rec.,11552226
Seafood Product Preparation and Packaging,31171,firms,592
,31171,estab.,685
,31171,empl.,33169
,31171,ann. pay.,1196086
,31171,est. rec.,11552226
Seafood Canning,311711,firms,112
,311711,estab.,123
,311711,empl.,2723
,311711,ann. pay.,120094
,311711,est. rec.,1219287
Fresh and Frozen Seafood Processing,311712,firms,486
,311712,estab.,562
,311712,empl.,30446
,311712,ann. pay.,1075992
,311712,est. rec.,10332939
Bakeries and Tortilla Manufacturing,3118,firms,9538
,3118,estab.,10269
,3118,empl.,284998
,3118,ann. pay.,8931469
,3118,est. rec.,56188091
Bread and Bakery Product Manufacturing,31181,firms,8564
,31181,estab.,9134
,31181,empl.,223842
,31181,ann. pay.,6702524
,31181,est. rec.,35786128
Retail Bakeries,311811,firms,6214
,311811,estab.,6381
,311811,empl.,59187
,311811,ann. pay.,1014138
,311811,est. rec.,3775713
Commercial Bakeries,311812,firms,2174
,311812,estab.,2510
,311812,empl.,143490
,311812,ann. pay.,4954630
,311812,est. rec.,26606300
"Frozen Cakes, Pies, and Other Pastries Manufacturing",311813,firms,219
,311813,estab.,243
,311813,empl.,21165
,311813,ann. pay.,733756
,311813,est. rec.,5404115
"Cookie, Cracker, and Pasta Manufacturing",31182,firms,658
,31182,estab.,754
,31182,empl.,45996
,31182,ann. pay.,1833849
,31182,est. rec.,17986865
Cookie and Cracker Manufacturing,311821,firms,307
,311821,estab.,348
,311821,empl.,28629
,311821,ann. pay.,1149910
,311821,est. rec.,10648485
Flour Mixes and Dough Manufacturing from Purchased Flour,311822,firms,201
,311822,estab.,243
,311822,empl.,13279
,311822,ann. pay.,530808
,311822,est. rec.,5676258
Dry Pasta Manufacturing,311823,firms,156
,311823,estab.,163
,311823,empl.,4088
,311823,ann. pay.,153131
,311823,est. rec.,1662122
Tortilla Manufacturing,31183,firms,343
,31183,estab.,381
,31183,empl.,15160
,31183,ann. pay.,395096
,31183,est. rec.,2415098
Tortilla Manufacturing,311830,firms,343
,311830,estab.,381
,311830,empl.,15160
,311830,ann. pay.,395096
,311830,est. rec.,2415098
Other Food Manufacturing,3119,firms,2871
,3119,estab.,3310
,3119,empl.,162852
,3119,ann. pay.,6412129
,3119,est. rec.,74081445
Snack Food Manufacturing,31191,firms,468
,31191,estab.,562
,31191,empl.,43628
,31191,ann. pay.,1593587
,31191,est. rec.,24980677
Roasted Nuts and Peanut Butter Manufacturing,311911,firms,173
,311911,estab.,196
,311911,empl.,13125
,311911,ann. pay.,475817
,311911,est. rec.,6364815
Other Snack Food Manufacturing,311919,firms,298
,311919,estab.,366
,311919,empl.,30503
,311919,ann. pay.,1117770
,311919,est. rec.,18615862
Coffee and Tea Manufacturing,31192,firms,368
,31192,estab.,392
,31192,empl.,13607
,31192,ann. pay.,625875
,31192,est. rec.,7885086
Coffee and Tea Manufacturing,311920,firms,368
,311920,estab.,392
,311920,empl.,13607
,311920,ann. pay.,625875
,311920,est. rec.,7885086
Flavoring Syrup and Concentrate Manufacturing,31193,firms,138
,31193,estab.,158
,31193,empl.,5726
,31193,ann. pay.,315411
,31193,est. rec.,8406316
Flavoring Syrup and Concentrate Manufacturing,311930,firms,138
,311930,estab.,158
,311930,empl.,5726
,311930,ann. pay.,315411
,311930,est. rec.,8406316
Seasoning and Dressing Manufacturing,31194,firms,589
,31194,estab.,681
,31194,empl.,31188
,31194,ann. pay.,1509292
,31194,est. rec.,13905570
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",311941,firms,289
,311941,estab.,333
,311941,empl.,14384
,311941,ann. pay.,607416
,311941,est. rec.,6564330
Spice and Extract Manufacturing,311942,firms,306
,311942,estab.,348
,311942,empl.,16804
,311942,ann. pay.,901876
,311942,est. rec.,7341240
All Other Food Manufacturing,31199,firms,1363
,31199,estab.,1517
,31199,empl.,68703
,31199,ann. pay.,2367964
,31199,est. rec.,18903796
Perishable Prepared Food Manufacturing,311991,firms,678
,311991,estab.,737
,311991,empl.,37281
,311991,ann. pay.,1150032
,311991,est. rec.,9161477
All Other Miscellaneous Food Manufacturing,311999,firms,694
,311999,estab.,780
,311999,empl.,31422
,311999,ann. pay.,1217932
,311999,est. rec.,9742319
Beverage and Tobacco Product Manufacturing,312,firms,3466
,312,estab.,4069
,312,empl.,156114
,312,ann. pay.,7777320
,312,est. rec.,129351188
Beverage Manufacturing,3121,firms,3388
,3121,estab.,3960
,3121,empl.,135979
,3121,ann. pay.,6546129
,3121,est. rec.,87467361
Soft Drink and Ice Manufacturing,31211,firms,917
,31211,estab.,1346
,31211,empl.,70631
,31211,ann. pay.,3145769
,31211,est. rec.,46282401
Soft Drink Manufacturing,312111,firms,275
,312111,estab.,495
,312111,empl.,55884
,312111,ann. pay.,2545021
,312111,est. rec.,41181227
Bottled Water Manufacturing,312112,firms,275
,312112,estab.,343
,312112,empl.,9507
,312112,ann. pay.,417670
,312112,est. rec.,4227800
Ice Manufacturing,312113,firms,373
,312113,estab.,508
,312113,empl.,5240
,312113,ann. pay.,183078
,312113,est. rec.,873374
Breweries,31212,firms,373
,31212,estab.,399
,31212,empl.,27398
,31212,ann. pay.,1621817
,31212,est. rec.,22092702
Breweries,312120,firms,373
,312120,estab.,399
,312120,empl.,27398
,312120,ann. pay.,1621817
,312120,est. rec.,22092702
Wineries,31213,firms,2025
,31213,estab.,2117
,31213,empl.,31964
,31213,ann. pay.,1412486
,31213,est. rec.,12512568
Wineries,312130,firms,2025
,312130,estab.,2117
,312130,empl.,31964
,312130,ann. pay.,1412486
,312130,est. rec.,12512568
Distilleries,31214,firms,82
,31214,estab.,98
,31214,empl.,5986
,31214,ann. pay.,366057
,31214,est. rec.,6579690
Distilleries,312140,firms,82
,312140,estab.,98
,312140,empl.,5986
,312140,ann. pay.,366057
,312140,est. rec.,6579690
Tobacco Manufacturing,3122,firms,79
,3122,estab.,109
,3122,empl.,20135
,3122,ann. pay.,1231191
,3122,est. rec.,41883827
Tobacco Stemming and Redrying,31221,firms,11
,31221,estab.,14
,31221,empl.,H
,31221,ann. pay.,D
,31221,est. rec.,D
Tobacco Stemming and Redrying,312210,firms,11
,312210,estab.,14
,312210,empl.,H
,312210,ann. pay.,D
,312210,est. rec.,D
Tobacco Product Manufacturing,31222,firms,72
,31222,estab.,95
,31222,empl.,17384
,31222,ann. pay.,1157392
,31222,est. rec.,40567936
Cigarette Manufacturing,312221,firms,24
,312221,estab.,28
,312221,empl.,11134
,312221,ann. pay.,848484
,312221,est. rec.,36119729
Other Tobacco Product Manufacturing,312229,firms,50
,312229,estab.,67
,312229,empl.,6250
,312229,ann. pay.,308908
,312229,est. rec.,4448207
Textile Mills,313,firms,2690
,313,estab.,3092
,313,empl.,164082
,313,ann. pay.,5493119
,313,est. rec.,36618365
"Fiber, Yarn, and Thread Mills",3131,firms,302
,3131,estab.,424
,3131,empl.,42041
,3131,ann. pay.,1229243
,3131,est. rec.,8993384
"Fiber, Yarn, and Thread Mills",31311,firms,302
,31311,estab.,424
,31311,empl.,42041
,31311,ann. pay.,1229243
,31311,est. rec.,8993384
Yarn Spinning Mills,313111,firms,165
,313111,estab.,242
,313111,empl.,24192
,313111,ann. pay.,679574
,313111,est. rec.,4839813
"Yarn Texturizing, Throwing, and Twisting Mills",313112,firms,81
,313112,estab.,111
,313112,empl.,16253
,313112,ann. pay.,505180
,313112,est. rec.,3909461
Thread Mills,313113,firms,68
,313113,estab.,71
,313113,empl.,1596
,313113,ann. pay.,44489
,313113,est. rec.,244110
Fabric Mills,3132,firms,1161
,3132,estab.,1318
,3132,empl.,80514
,3132,ann. pay.,2861587
,3132,est. rec.,19010887
Broadwoven Fabric Mills,31321,firms,459
,31321,estab.,518
,31321,empl.,38062
,31321,ann. pay.,1190724
,31321,est. rec.,7744598
Broadwoven Fabric Mills,313210,firms,459
,313210,estab.,518
,313210,empl.,38062
,313210,ann. pay.,1190724
,313210,est. rec.,7744598
Narrow Fabric Mills and Schiffli Machine Embroidery,31322,firms,277
,31322,estab.,300
,31322,empl.,10270
,31322,ann. pay.,327637
,31322,est. rec.,1333826
Narrow Fabric Mills,313221,firms,186
,313221,estab.,207
,313221,empl.,8950
,313221,ann. pay.,293853
,313221,est. rec.,1237407
Schiffli Machine Embroidery,313222,firms,91
,313222,estab.,93
,313222,empl.,1320
,313222,ann. pay.,33784
,313222,est. rec.,96419
Nonwoven Fabric Mills,31323,firms,188
,31323,estab.,226
,31323,empl.,19160
,31323,ann. pay.,956586
,31323,est. rec.,7617471
Nonwoven Fabric Mills,313230,firms,188
,313230,estab.,226
,313230,empl.,19160
,313230,ann. pay.,956586
,313230,est. rec.,7617471
Knit Fabric Mills,31324,firms,258
,31324,estab.,274
,31324,empl.,13022
,31324,ann. pay.,386640
,31324,est. rec.,2314992
Weft Knit Fabric Mills,313241,firms,97
,313241,estab.,101
,313241,empl.,6062
,313241,ann. pay.,177458
,313241,est. rec.,1172114
Other Knit Fabric and Lace Mills,313249,firms,165
,313249,estab.,173
,313249,empl.,6960
,313249,ann. pay.,209182
,313249,est. rec.,1142878
Textile and Fabric Finishing and Fabric Coating Mills,3133,firms,1293
,3133,estab.,1350
,3133,empl.,41527
,3133,ann. pay.,1402289
,3133,est. rec.,8614094
Textile and Fabric Finishing Mills,31331,firms,1113
,31331,estab.,1154
,31331,empl.,32070
,31331,ann. pay.,1004503
,31331,est. rec.,6029623
Broadwoven Fabric Finishing Mills,313311,firms,654
,313311,estab.,677
,313311,empl.,17870
,313311,ann. pay.,547576
,313311,est. rec.,3482944
Textile and Fabric Finishing (except Broadwoven Fabric) Mills,313312,firms,464
,313312,estab.,477
,313312,empl.,14200
,313312,ann. pay.,456927
,313312,est. rec.,2546679
Fabric Coating Mills,31332,firms,184
,31332,estab.,196
,31332,empl.,9457
,31332,ann. pay.,397786
,31332,est. rec.,2584471
Fabric Coating Mills,313320,firms,184
,313320,estab.,196
,313320,empl.,9457
,313320,ann. pay.,397786
,313320,est. rec.,2584471
Textile Product Mills,314,firms,6471
,314,estab.,6732
,314,empl.,152978
,314,ann. pay.,4771524
,314,est. rec.,30812321
Textile Furnishings Mills,3141,firms,2436
,3141,estab.,2583
,3141,empl.,80278
,3141,ann. pay.,2522385
,3141,est. rec.,19973715
Carpet and Rug Mills,31411,firms,277
,31411,estab.,347
,31411,empl.,44650
,31411,ann. pay.,1620504
,31411,est. rec.,14409196
Carpet and Rug Mills,314110,firms,277
,314110,estab.,347
,314110,empl.,44650
,314110,ann. pay.,1620504
,314110,est. rec.,14409196
Curtain and Linen Mills,31412,firms,2160
,31412,estab.,2236
,31412,empl.,35628
,31412,ann. pay.,901881
,31412,est. rec.,5564519
Curtain and Drapery Mills,314121,firms,1598
,314121,estab.,1614
,314121,empl.,11855
,314121,ann. pay.,309672
,314121,est. rec.,1089715
Other Household Textile Product Mills,314129,firms,567
,314129,estab.,622
,314129,empl.,23773
,314129,ann. pay.,592209
,314129,est. rec.,4474804
Other Textile Product Mills,3149,firms,4042
,3149,estab.,4149
,3149,empl.,72700
,3149,ann. pay.,2249139
,3149,est. rec.,10838606
Textile Bag and Canvas Mills,31491,firms,1759
,31491,estab.,1787
,31491,empl.,26442
,31491,ann. pay.,825096
,31491,est. rec.,3818802
Textile Bag Mills,314911,firms,247
,314911,estab.,253
,314911,empl.,6111
,314911,ann. pay.,157300
,314911,est. rec.,763327
Canvas and Related Product Mills,314912,firms,1512
,314912,estab.,1534
,314912,empl.,20331
,314912,ann. pay.,667796
,314912,est. rec.,3055475
All Other Textile Product Mills,31499,firms,2287
,31499,estab.,2362
,31499,empl.,46258
,31499,ann. pay.,1424043
,31499,est. rec.,7019804
"Rope, Cordage, and Twine Mills",314991,firms,141
,314991,estab.,149
,314991,empl.,3943
,314991,ann. pay.,146645
,314991,est. rec.,862494
Tire Cord and Tire Fabric Mills,314992,firms,18
,314992,estab.,24
,314992,empl.,3691
,314992,ann. pay.,144547
,314992,est. rec.,1040755
All Other Miscellaneous Textile Product Mills,314999,firms,2129
,314999,estab.,2189
,314999,empl.,38624
,314999,ann. pay.,1132851
,314999,est. rec.,5116555
Apparel Manufacturing,315,firms,10151
,315,estab.,10368
,315,empl.,197454
,315,ann. pay.,5017445
,315,est. rec.,28919587
Apparel Knitting Mills,3151,firms,450
,3151,estab.,487
,3151,empl.,26584
,3151,ann. pay.,691958
,3151,est. rec.,3854578
Hosiery and Sock Mills,31511,firms,219
,31511,estab.,246
,31511,empl.,19541
,31511,ann. pay.,501093
,31511,est. rec.,2690357
Sheer Hosiery Mills,315111,firms,51
,315111,estab.,58
,315111,empl.,4806
,315111,ann. pay.,113561
,315111,est. rec.,794570
Other Hosiery and Sock Mills,315119,firms,170
,315119,estab.,188
,315119,empl.,14735
,315119,ann. pay.,387532
,315119,est. rec.,1895787
Other Apparel Knitting Mills,31519,firms,233
,31519,estab.,241
,31519,empl.,7043
,31519,ann. pay.,190865
,31519,est. rec.,1164221
Outerwear Knitting Mills,315191,firms,208
,315191,estab.,216
,315191,empl.,5791
,315191,ann. pay.,159349
,315191,est. rec.,900896
Underwear and Nightwear Knitting Mills,315192,firms,25
,315192,estab.,25
,315192,empl.,G
,315192,ann. pay.,D
,315192,est. rec.,D
Cut and Sew Apparel Manufacturing,3152,firms,8814
,3152,estab.,8965
,3152,empl.,155742
,3152,ann. pay.,3918641
,3152,est. rec.,23333368
Cut and Sew Apparel Contractors,31521,firms,6227
,31521,estab.,6275
,31521,empl.,76827
,31521,ann. pay.,1388170
,31521,est. rec.,6777093
Men's and Boys' Cut and Sew Apparel Contractors,315211,firms,1159
,315211,estab.,1189
,315211,empl.,17230
,315211,ann. pay.,348462
,315211,est. rec.,1503892
"Women's, Girls', and Infants' Cut and Sew Apparel Contractors",315212,firms,5070
,315212,estab.,5086
,315212,empl.,59597
,315212,ann. pay.,1039708
,315212,est. rec.,5273201
Men's and Boys' Cut and Sew Apparel Manufacturing,31522,firms,645
